"","colnames.base_estacionaria.","tipo","test"
"73","Consumo...energia.elétrica...residência...qde....GWh...Eletrobras...ELETRO12_CEERES12",0,1
"74","Consumo...energia.elétrica...qde....GWh...Eletrobras...ELETRO12_CEET12",0,1
"75","Consumo...energia.elétrica...comércio...tarifa.média.por.MWh...R....Eletrobras...ELETRO12_CEETCOM12",0,1
"76","Consumo...energia.elétrica...indústria...tarifa.média.por.MWh...R....Eletrobras...ELETRO12_CEETIND12",0,1
"77","Consumo...energia.elétrica...residência...tarifa.média.por.MWh...R....Eletrobras...ELETRO12_CEETRES12",0,1
"78","Consumo...energia.elétrica...tarifa.média.por.MWh...R....Eletrobras...ELETRO12_CEETT12",0,1
"79","Consumo...energia.elétrica...outros.setores...qde....GWh...Eletrobras...ELETRO12_CEEOUT12",0,1
"80","Cheques.sem.fundo.........Serasa...SERASA12_CHSF12",0,1
"81","Usecheque...número.de.consultas...Unidade...Associação.Comercial.de.São.Paulo..Boletim.do.Instituto.de.Economia.Gastão.Vidigal...ACSP.IEGV....ACSP12_TELCH12",0,1
"82","SPC...número.de.consultas...Unidade...Associação.Comercial.de.São.Paulo..Boletim.do.Instituto.de.Economia.Gastão.Vidigal...ACSP.IEGV....ACSP12_SCPCC12",0,1
"83","Índice.de.condições.econômicas.atuais..ICEA........Federação.do.Comércio.do.Estado.de.São.Paulo..Pesquisa.Conjuntural.do.Comércio.Varejista..da.Região.Metropolitana.de.São.Paulo..Fecomercio.SP....FCESP12_IICA12",0,1
"84","Índice.nacional.de.vendas...variação.nominal......a.m.....Associação.Brasileira.de.Supermercados..Abras....ABRAS12_INV12",1,0
"85","Índice.nacional.de.vendas...variação.real......a.m.....Associação.Brasileira.de.Supermercados..Abras....ABRAS12_INVR12",1,0
"86","Venda...fertilizantes...qde....Tonelada...Associação.Nacional.para.Difusão.de.Adubos..Anda....ANDA12_VFERTILIZ12",0,1
"87","Vendas.de.veículos.pelas.concessionárias...Automóveis....Unidade....Fenabrave...Federação.Nacional.da.Distribuição.de.Veículos.Automotores...é.a.entidade.representativa.do.setor.de.Distribuição.de.Veículos.no.Brasil....FENABRAVE12_VENDAUTO12",0,1
"88","Vendas.de.veículos.pelas.concessionárias...Total....Unidade....Fenabrave...Federação.Nacional.da.Distribuição.de.Veículos.Automotores...é.a.entidade.representativa.do.setor.de.Distribuição.de.Veículos.no.Brasil....FENABRAVE12_VENDVETOT12",0,1
"89","Consumo.aparente...álcool.carburante...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_CALCO12",0,1
"90","Consumo.aparente...derivados.de.petróleo...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_CDEPET12",0,1
"91","Consumo.aparente...gasolina...média...qde..dia...Barril...Agência.Nacional.do.Petróleo..ANP....ANP12_CGASOL12",0,1
