Período,CHLLOLITOAASTSAM,CHLLOLITOTRGYSAM,CHLLOLITONOSTSAM,CHNLOLITOAASTSAM,CHNLOLITONOSTSAM,CHNLOLITOTRGYSAM,OECDLOLITOAASTSAM,OECDLOLITOTRGYSAM,OECDLOLITONOSTSAM,CPIAUCSL,UNRATE,FEDFUNDS,USSLIND,USALOLITOAASTSAM,USALOLITONOSTSAM,USALOLITOTRGYSAM,EA19LOLITOAASTSAM,EA19LOLITONOSTSAM,EA19LOLITOTRGYSAM,RUSLOLITOAASTSAM,RUSLOLITOTRGYSAM,RUSLOLITONOSTSAM,ICC_ARGENTINA,ind.sint.act.construcion_argentina,reservas_internacionais_argentina,saldo_bcc_arg,ipc_peru,reservas_internacionais_peru,saldo_bcc_peru,desemprego_peru
8/2005,100.2597,3.687371,100.2021,100.1323,100.1232,15.64662,100.1704,2.145413,100.1576,196.1,4.9,3.5,1.78,100.3954,100.3733,2.166903,99.8189,99.80225,1.613562,100.0498827,7.450563305,100.0235427,52.06,121.75,25252,11604,88.6,13.63,4.29,10.02
9/2005,100.3042,3.628077,100.2367,100.082,100.075,15.6389,100.2932,2.291697,100.265,198.8,5,3.62,1.3,100.4894,100.4624,2.330898,99.94085,99.92175,1.711881,100.2653268,7.721367366,100.1380342,49.93,125.03,25614,11642,88.52,13.7,4.48,9.31
10/2005,100.3747,3.683462,100.2916,100.0224,100.018,15.63546,100.4397,2.447028,100.3962,199.1,5,3.78,1.35,100.6323,100.5977,2.51153,100.086,100.0644,1.843854,100.4777595,8.010448015,100.2509254,50.12,129.49,26548,11680,88.65,13.55,4.52,7.9
11/2005,100.4766,3.854309,100.3708,99.9962,99.99288,15.68257,100.5962,2.601711,100.5408,198.1,5,4,1.51,100.8118,100.7678,2.687373,100.2479,100.225,2.009916,100.7222813,8.356641979,100.3808694,53.37,130.14,26525,11404,88.71,13.54,4.75,8.61
12/2005,100.5595,4.099738,100.4354,100.0164,100.0122,15.80932,100.7437,2.751961,100.6812,198.1,4.9,4.16,1.7,100.9882,100.9349,2.844082,100.4214,100.398,2.208563,101.0185796,8.741183872,100.5383285,51.01,134.09,28077,11701,89.08,14.1,5.29,7.59
1/2006,100.6001,4.366645,100.467,100.0902,100.0829,16.00836,100.8708,2.901219,100.8041,199.3,4.7,4.29,1.85,101.1287,101.068,2.983321,100.5939,100.57,2.43078,101.3594021,9.117103691,100.7194488,57.07,129.59,19689,11685,89.53,14.14,5.3,10.42
2/2006,100.647,4.677244,100.5034,100.2216,100.2087,16.24794,100.9717,3.047796,100.9024,199.4,4.8,4.49,1.62,101.221,101.1554,3.097986,100.7515,100.7264,2.65538,101.7140151,9.449122935,100.9078976,56.22,133.69,20532,11710,90.02,13.99,5.39,8.9
3/2006,100.6637,4.945107,100.5164,100.402,100.3815,16.48714,101.0429,3.17344,100.972,199.7,4.7,4.59,1.58,101.2568,101.1894,3.165793,100.8874,100.8602,2.86052,102.0589861,9.722494957,101.0912224,59.86,136.39,21549,11779,90.43,14.47,5.44,7.74
4/2006,100.6256,5.13281,100.4868,100.6044,100.5753,16.71653,101.08,3.250829,101.0097,200.7,4.7,4.79,1.43,101.234,101.1677,3.151143,101.0014,100.9719,3.028134,102.3779514,9.927559809,101.2607273,54.02,138.45,22400,11978,90.89,14.49,5.95,9.47
5/2006,100.522,5.187662,100.4061,100.7829,100.7463,16.89544,101.0852,3.257484,101.0179,201.3,4.6,4.94,1.08,101.1745,101.1114,3.052058,101.0942,101.0623,3.14201,102.6417513,10.02304088,101.4009161,56.76,137.54,24162,12114,90.41,14.24,6.28,9.34
6/2006,100.3993,5.164369,100.3107,100.898,100.8565,16.97698,101.0803,3.198821,101.0183,201.8,4.6,4.99,1.13,101.1178,101.0577,2.912978,101.1764,101.1431,3.196679,102.8556223,10.00191453,101.5145716,58.53,139.83,25490,12376,90.29,14.42,6.59,8.02
7/2006,100.2736,5.059998,100.2129,100.9565,100.9124,17.00468,101.086,3.104008,101.0291,202.9,4.7,5.24,0.72,101.0853,101.0269,2.783648,101.2578,101.2245,3.200839,103.0236377,9.886021567,101.6038586,57.74,143.68,26223,12088,90.14,14.64,7.25,8.21
8/2006,100.2193,4.946436,100.1706,101.0151,100.9685,17.06321,101.1207,3.002474,101.0655,203.8,4.7,5.25,1.01,101.097,101.0379,2.683215,101.3492,101.3166,3.172886,103.148614,9.702435571,101.6702736,55.86,142.28,27397,11841,90.26,15.38,7.62,9.08
9/2006,100.3069,4.955768,100.2388,101.1355,101.0839,17.23863,101.1862,2.902875,101.1292,202.8,4.5,5.25,0.88,101.1613,101.0989,2.601703,101.4522,101.4203,3.12051,103.2495292,9.496720819,101.7239021,58.95,139.56,28048,11705,90.29,15.17,8.08,8.17
10/2006,100.5575,5.106352,100.4338,101.348,101.2874,17.52845,101.2729,2.799458,101.2112,201.9,4.4,5.25,1.08,101.2574,101.1899,2.501987,101.5663,101.5344,3.05338,103.3675975,9.309227509,101.786646,59.73,137.92,29082,11758,90.33,15.67,8.37,7.16
11/2006,100.9549,5.374838,100.743,101.6439,101.5707,17.87249,101.3675,2.692836,101.2996,202,4.5,5.25,0.82,101.3681,101.2948,2.37944,101.6867,101.6529,2.973569,103.5169955,9.116687299,101.8660393,57.59,141.9,30328,12058,90.07,16.47,8.79,8.51
12/2006,101.4534,5.766162,101.1308,101.9696,101.8826,18.19291,101.46,2.592384,101.3861,203.1,4.4,5.24,1,101.4859,101.4064,2.266855,101.805,101.7682,2.877663,103.6823062,8.881833638,101.9538888,57.11,138.51,32037,12393,90.09,17.28,8.99,7.48
1/2007,101.9346,6.181466,101.5053,102.2873,102.1869,18.43696,101.5399,2.49919,101.4622,203.437,4.6,5.25,1.28,101.6003,101.5147,2.187272,101.911,101.8721,2.768676,103.8443978,8.593143171,102.0400277,60.97,138.98,33739,11968,90.1,17.85,8.93,11.55
2/2007,102.3112,6.479117,101.7983,102.5851,102.472,18.58587,101.6094,2.421191,101.5295,204.226,4.5,5.26,1.09,101.7124,101.6209,2.153751,102.0031,101.9629,2.659053,104.0097004,8.290987636,102.127873,59.54,143.31,34936,12001,90.34,18.14,9.06,9.46
3/2007,102.5713,6.685833,102.0007,102.8718,102.7466,18.66039,101.6691,2.362676,101.5873,205.288,4.4,5.26,1.34,101.8268,101.7293,2.179431,102.0812,102.0407,2.555924,104.1695344,7.991470464,102.2128122,58.84,138.64,36849,11825,90.65,18.43,9.29,8.32
4/2007,102.704,6.81682,102.1039,103.1163,102.9807,18.65654,101.7196,2.328786,101.6345,205.904,4.5,5.25,1.04,101.9355,101.8323,2.258551,102.1439,102.1036,2.457873,104.3092347,7.69664271,102.2870518,52.8,142,38606,11683,90.81,19.7,9.23,9.26
5/2007,102.7032,6.877681,102.1033,103.2769,103.1345,18.58139,101.7561,2.312555,101.6649,206.755,4.4,5.25,1.21,102.0186,101.9111,2.349143,102.1869,102.1476,2.359958,104.420061,7.427913591,102.3459473,52.92,146.59,40581,11642,91.26,21.27,9.2,8.02
6/2007,102.5758,6.826617,102.0042,103.3327,103.1879,18.45778,101.7668,2.280064,101.6668,207.234,4.6,5.25,0.7,102.059,101.9494,2.394385,102.1961,102.1586,2.237633,104.5069766,7.184492878,102.392136,51.32,147.78,43157,11595,91.69,21.53,9.34,7.6
7/2007,102.348,6.673585,101.8269,103.2866,103.1438,18.28139,101.7454,2.204464,101.6353,207.603,4.7,5.26,0.51,102.0421,101.9334,2.358168,102.1635,102.1284,2.073101,104.5617455,6.953438085,102.4212414,50.18,150.93,44202,11119,92.12,23.33,9.12,8.18
8/2007,102.0818,6.4045,101.6198,103.165,103.0274,18.01597,101.6882,2.06335,101.5701,207.667,4.6,5.02,0.55,101.9647,101.86,2.217078,102.0937,102.0603,1.860338,104.5751438,6.722331977,102.4283615,46.61,153,43160,10469,92.25,24.07,8.91,7.97
9/2007,101.8109,5.980215,101.409,102.9539,102.8252,17.57418,101.6059,1.866345,101.4844,208.547,4.7,4.94,0.4,101.8556,101.7566,1.99199,101.9997,101.9673,1.611261,104.5527729,6.477356553,102.4164732,49.21,146.71,42891,10455,92.82,22.83,8.81,8.36
10/2007,101.5139,5.359059,101.178,102.6472,102.5315,16.91618,101.5093,1.634269,101.388,209.19,4.7,4.76,0.61,101.7347,101.6421,1.724453,101.8902,101.8574,1.335403,104.4808967,6.162425279,102.3782766,47.9,153.71,43000,10686,93.11,24.89,8.77,7.44
11/2007,101.2009,4.572922,100.9344,102.2688,102.1691,16.08243,101.3987,1.381108,101.2801,210.834,4.7,4.49,0.43,101.6059,101.5201,1.436006,101.7633,101.7286,1.035964,104.3404464,5.744556408,102.3036384,51.46,157.18,44860,10853,93.21,26.35,8.51,7.95
12/2007,100.8863,3.688797,100.6896,101.8449,101.7632,15.16695,101.278,1.121036,101.1639,211.445,5,4.24,0.25,101.4767,101.3977,1.142187,101.6231,101.5846,0.725678,104.1250422,5.234311622,102.1891681,51.51,155.94,46176,11273,93.63,27.69,8.5,6.95
1/2008,100.5529,2.812662,100.4302,101.3713,101.3097,14.20916,101.139,0.856569,101.0332,212.174,5,3.94,0.41,101.3403,101.2684,0.846636,101.4713,101.4271,0.416608,103.8531342,4.670843143,102.0446704,55.04,154.16,47660,12174,93.84,30.74,8.56,9.4
2/2008,100.136,1.965414,100.1059,100.8265,100.788,13.19851,100.9629,0.566832,100.874,212.687,4.9,2.98,0.32,101.1835,101.1199,0.535469,101.2981,101.2485,0.100963,103.5550549,4.078980425,101.8862648,52.03,150.61,49261,12393,94.69,32.31,8.62,10.54
3/2008,99.61715,1.137154,99.70211,100.2197,100.2069,12.13589,100.747,0.248948,100.684,213.448,5.1,2.61,0.19,101.0091,100.9547,0.206965,101.0903,101.0363,-0.23448,103.2149085,3.452111067,101.7055039,45.51,152.86,50464,12470,95.68,35.58,8.49,8
4/2008,99.03272,0.373093,99.24738,99.51527,99.53233,11.01587,100.4856,-0.10327,100.4558,213.942,5,2.28,0.18,100.7996,100.7563,-0.14786,100.8348,100.7785,-0.60069,102.7717036,2.744381721,101.4699755,45.62,157.36,50247,12148,95.83,35.63,8.23,8.53
5/2008,98.37833,-0.32828,98.7382,98.6941,98.74597,9.860708,100.1622,-0.50128,100.1716,215.208,5.4,1.98,0,100.5272,100.4982,-0.53716,100.5177,100.4612,-1.00715,102.1233722,1.863299334,101.1254386,40.31,157.37,48588,11874,96.18,34.86,7.97,7.86
6/2008,97.59747,-1.03344,98.13063,97.76928,97.86034,8.704916,99.75918,-0.95102,99.81305,217.463,5.6,2,-0.12,100.1525,100.1432,-0.98303,100.1289,100.0744,-1.45011,101.1557265,0.6914955753,100.6112113,39.6,152.93,47516,11143,96.92,35.52,7.1,7.35
